Referencia,Fecha Alta,Tipo,Operación,Departamento,Area (m2),Precio Venta/Alquiler,Fecha Venta,Vendedor
44,42388,Casa,Venta,Norte de Santander,278,153706200,42720,María
45,42389,Oficina,Alquiler,Cundinamarca,287,285105800,42737,Joaquín
46,42389,Oficina,Alquiler,Boyacá,224,129404800,42672,Carmen
47,42389,apartamento,Alquiler,Cundinamarca,53,24941800,42593,Luisa
48,42389,Industrial,Venta,Cundinamarca,284,145748800,42557,Jesús
49,42389,Local,Venta,Norte de Santander,40,32168000,42746,Jesús
50,42389,Local,Alquiler,Meta,235,95762500,42687,Carmen
51,42389,Industrial,Venta,Boyacá,90,56862000,42718,Joaquín
52,42391,Local,Alquiler,Boyacá,206,160556400,42639,María
53,42391,lote,Alquiler,Meta,158,143874800,42660,Carmen
54,42391,lote,Alquiler,Cundinamarca,71,68699600,42520,Luisa
55,42391,Local,Venta,Norte de Santander,127,98323400,42560,Carmen
56,42392,apartamento,Venta,Boyacá,54,23922000,42491,María
57,42392,Oficina,Alquiler,Boyacá,54,51273000,42555,Carmen
58,42393,Local,Alquiler,Norte de Santander,274,228762600,42725,María
59,42393,Industrial,Venta,Meta,166,137381600,42693,Joaquín
60,42393,Oficina,Alquiler,Boyacá,270,192024000,42549,Jesús
61,42393,Casa,Venta,Meta,120,114084000,42625,Carmen
62,42393,Industrial,Venta,Meta,178,114293800,42758,Joaquín
63,42394,apartamento,Venta,Cundinamarca,144,73814400,42619,Luisa
64,42395,Industrial,Venta,Boyacá,57,50901000,42656,María
65,42395,Oficina,Venta,Meta,144,143683200,42516,Luisa
66,42396,lote,Venta,Boyacá,272,211942400,42728,Pedro
67,42396,Industrial,Alquiler,Cundinamarca,219,94892700,42658,Jesús
68,42396,Local,Alquiler,Cundinamarca,68,37699200,42549,Luisa
69,42396,Local,Venta,Norte de Santander,248,221240800,42652,María
70,42397,Casa,Alquiler,Meta,179,164769500,42563,María
71,42397,Casa,Venta,Norte de Santander,235,193992500,42675,Carmen
72,42397,lote,Venta,Meta,216,147895200,42658,Carmen
73,42397,parqueadero,Alquiler,Cundinamarca,62,32016400,42617,Joaquín
74,42398,Industrial,Venta,Norte de Santander,229,109805500,42665,Joaquín
75,42398,lote,Venta,Meta,41,18786200,42596,Jesús
76,42398,lote,Alquiler,Meta,234,175710600,42732,Pedro
77,42399,Industrial,Alquiler,Meta,112,110499200,42546,Pedro
78,42400,apartamento,Venta,Boyacá,87,44848500,42647,María
79,42400,parqueadero,Venta,Cundinamarca,298,252048400,42701,Carmen
80,42400,parqueadero,Alquiler,Cundinamarca,217,133910700,42648,Carmen
81,42401,Industrial,Alquiler,Cundinamarca,236,181224400,42691,Pedro
82,42402,parqueadero,Venta,Norte de Santander,117,106973100,42627,Pedro
83,42402,lote,Venta,Boyacá,56,47107200,42519,María
84,42402,apartamento,Venta,Cundinamarca,94,47094000,42579,Carmen
85,42402,Local,Alquiler,Cundinamarca,127,92532200,42524,Joaquín
86,42403,apartamento,Venta,Norte de Santander,275,214170000,42743,Jesús
87,42403,Industrial,Alquiler,Cundinamarca,93,77887500,42502,Luisa
88,42403,parqueadero,Alquiler,Meta,58,42119600,42653,Pedro
89,42404,Local,Alquiler,Cundinamarca,49,21971600,42640,Jesús
90,42404,lote,Venta,Norte de Santander,292,268581600,42575,Pedro
91,42404,Industrial,Alquiler,Cundinamarca,123,72360900,42720,Joaquín
92,42405,apartamento,Alquiler,Cundinamarca,48,38803200,42496,Jesús
93,42405,Industrial,Alquiler,Meta,132,92202000,42666,Joaquín
94,42406,Industrial,Alquiler,Cundinamarca,177,96535800,42529,Luisa
95,42406,Local,Venta,Cundinamarca,68,66381600,42513,Joaquín
96,42407,Industrial,Alquiler,Meta,103,72893100,42771,Jesús
97,42407,lote,Venta,Meta,96,62553600,42681,Jesús
98,42407,Casa,Venta,Boyacá,227,146778200,42767,Carmen
99,42407,Industrial,Alquiler,Norte de Santander,251,206723600,42726,María
100,42408,Local,Alquiler,Meta,125,53137500,42544,Jesús
101,42408,lote,Alquiler,Norte de Santander,162,71069400,42640,María
102,42408,Local,Venta,Cundinamarca,45,43843500,42513,Luisa
103,42408,Casa,Alquiler,Norte de Santander,258,118809000,42570,María
104,42409,Oficina,Venta,Meta,104,69940000,42565,Luisa
105,42410,apartamento,Alquiler,Norte de Santander,238,185449600,42768,Luisa
106,42410,apartamento,Alquiler,Boyacá,300,210570000,42761,Pedro
107,42410,lote,Alquiler,Norte de Santander,222,179131800,42717,Jesús
108,42412,lote,Alquiler,Meta,187,178229700,42724,Joaquín
109,42412,lote,Alquiler,Cundinamarca,300,152820000,42591,Pedro
110,42412,parqueadero,Venta,Cundinamarca,206,158764200,42724,Luisa
111,42413,lote,Alquiler,Meta,162,95466600,42699,Joaquín
112,42413,Local,Alquiler,Boyacá,160,106480000,42635,Pedro
113,42413,lote,Alquiler,Cundinamarca,89,88724100,42737,Luisa
114,42414,lote,Venta,Norte de Santander,103,80679900,42746,Joaquín
115,42414,Industrial,Venta,Meta,54,43875000,42597,Carmen
116,42415,parqueadero,Venta,Norte de Santander,103,97365900,42739,Jesús
117,42415,Oficina,Venta,Norte de Santander,274,172400800,42639,Joaquín
118,42415,Oficina,Venta,Norte de Santander,253,204727600,42623,Luisa
119,42416,parqueadero,Venta,Boyacá,51,30798900,42557,Pedro
120,42416,apartamento,Venta,Meta,174,97387800,42717,Jesús
121,42417,parqueadero,Venta,Cundinamarca,152,68886400,42710,Jesús
122,42417,Casa,Alquiler,Cundinamarca,270,138591000,42771,Pedro
123,42417,Local,Alquiler,Norte de Santander,179,146135600,42581,Pedro
124,42418,lote,Alquiler,Meta,212,92622800,42618,Joaquín
125,42419,Industrial,Venta,Norte de Santander,118,106719200,42607,Carmen
126,42419,Industrial,Venta,Meta,194,137313200,42613,María
127,42420,Industrial,Venta,Cundinamarca,139,108711900,42519,Jesús
128,42420,Casa,Venta,Meta,130,123019000,42739,Luisa
129,42421,parqueadero,Alquiler,Boyacá,206,136392600,42743,Carmen
130,42421,Oficina,Venta,Meta,216,138909600,42697,Luisa
131,42421,Local,Venta,Boyacá,55,47734500,42617,Carmen
132,42421,Oficina,Venta,Meta,190,126863000,42708,Jesús
133,42422,lote,Alquiler,Meta,62,39196400,42688,Pedro
134,42422,Oficina,Alquiler,Meta,275,176522500,42786,Joaquín
135,42422,Local,Venta,Boyacá,45,22945500,42648,Jesús
136,42423,Oficina,Alquiler,Boyacá,105,62443500,42545,Joaquín
137,42423,Casa,Venta,Cundinamarca,119,68615400,42754,Pedro
138,42424,Industrial,Venta,Norte de Santander,88,67848000,42732,Luisa
139,42426,Local,Alquiler,Meta,63,53392500,42635,Joaquín
140,42426,apartamento,Venta,Cundinamarca,222,107603400,42523,María
141,42427,lote,Venta,Cundinamarca,47,45547700,42735,Joaquín
142,42427,Oficina,Venta,Meta,123,112815600,42636,Pedro
143,42427,Oficina,Alquiler,Meta,134,131052000,42732,María
144,42428,parqueadero,Alquiler,Cundinamarca,121,78287000,42693,Pedro
145,42428,apartamento,Venta,Norte de Santander,50,31555000,42657,Pedro
146,42428,parqueadero,Venta,Norte de Santander,274,202897000,42602,Luisa
147,42428,parqueadero,Alquiler,Cundinamarca,76,73438800,42518,Joaquín
148,42428,Local,Venta,Cundinamarca,109,77924100,42520,María
149,42429,apartamento,Venta,Boyacá,249,149250600,42778,Luisa
150,42430,Casa,Alquiler,Boyacá,212,180051600,42723,Jesús
151,42430,Oficina,Alquiler,Boyacá,128,125990400,42645,Luisa
152,42431,Oficina,Venta,Meta,172,106364800,42779,María
153,42431,apartamento,Venta,Boyacá,68,43465600,42564,María
154,42431,Industrial,Alquiler,Boyacá,52,50892400,42616,Pedro
155,42432,lote,Alquiler,Norte de Santander,185,140359500,42645,Pedro
156,42432,Casa,Venta,Norte de Santander,284,156143200,42552,Pedro
157,42432,Oficina,Venta,Meta,202,189193200,42645,María
158,42432,Casa,Alquiler,Boyacá,100,73170000,42653,Luisa
159,42433,Local,Venta,Boyacá,106,56317800,42583,Pedro
160,42433,Casa,Venta,Meta,211,87522800,42574,María
161,42433,lote,Venta,Meta,165,130548000,42580,Jesús
162,42434,apartamento,Alquiler,Boyacá,251,136167500,42598,Jesús
163,42434,Local,Venta,Meta,266,116109000,42697,Carmen
164,42434,Oficina,Alquiler,Norte de Santander,287,139568100,42626,Carmen
165,42434,Industrial,Venta,Meta,104,100110400,42654,Luisa
166,42435,Oficina,Venta,Meta,250,227550000,42580,Luisa
167,42435,parqueadero,Venta,Norte de Santander,169,137075900,42749,Luisa
168,42435,lote,Venta,Boyacá,221,184203500,42658,Joaquín
169,42436,Industrial,Alquiler,Cundinamarca,286,208007800,42565,Jesús
170,42437,lote,Alquiler,Boyacá,73,59728600,42786,Joaquín
171,42437,lote,Venta,Norte de Santander,144,135864000,42687,Joaquín
172,42437,apartamento,Alquiler,Meta,108,55825200,42662,María
173,42438,Oficina,Venta,Norte de Santander,268,240047600,42802,Joaquín
174,42438,apartamento,Alquiler,Boyacá,143,113141600,42607,Joaquín
175,42439,Local,Venta,Cundinamarca,52,41693600,42607,Carmen
176,42439,Industrial,Alquiler,Boyacá,193,165883500,42612,Jesús
177,42440,lote,Venta,Meta,148,143101200,42614,Jesús
178,42440,Local,Venta,Meta,118,51330000,42669,María
179,42441,Industrial,Venta,Cundinamarca,156,84832800,42793,Jesús
180,42441,lote,Alquiler,Meta,201,187492800,42542,Jesús
181,42441,Oficina,Venta,Meta,42,36758400,42593,Joaquín
182,42442,Local,Alquiler,Meta,162,132305400,42607,Joaquín
183,42443,Local,Alquiler,Norte de Santander,231,144652200,42615,Carmen
184,42443,lote,Venta,Meta,273,144799200,42667,Pedro
185,42444,Industrial,Venta,Cundinamarca,265,210993000,42609,María
186,42445,Casa,Alquiler,Norte de Santander,87,77986800,42666,Jesús
187,42445,Local,Alquiler,Cundinamarca,95,91903000,42714,María
188,42445,Casa,Venta,Boyacá,63,53726400,42774,Carmen
189,42446,parqueadero,Venta,Norte de Santander,160,126160000,42668,Jesús
190,42446,parqueadero,Alquiler,Boyacá,95,44821000,42668,Pedro
191,42447,lote,Alquiler,Meta,71,43132500,42574,Carmen
192,42447,Local,Venta,Norte de Santander,56,55361600,42803,Pedro
193,42447,lote,Venta,Meta,59,45365100,42650,María
194,42448,Local,Alquiler,Norte de Santander,117,98689500,42627,Pedro
195,42448,apartamento,Venta,Norte de Santander,62,25085200,42572,Carmen
196,42449,apartamento,Alquiler,Cundinamarca,281,133671700,42684,Carmen
197,42449,apartamento,Venta,Meta,87,51973800,42748,Carmen
198,42450,Oficina,Alquiler,Norte de Santander,174,72088200,42596,Pedro
199,42450,Oficina,Venta,Boyacá,177,84234300,42804,María
200,42451,parqueadero,Venta,Meta,281,210834300,42639,Pedro
201,42451,parqueadero,Venta,Norte de Santander,247,105098500,42683,Pedro
202,42451,apartamento,Alquiler,Norte de Santander,52,29827200,42595,María
203,42451,Local,Alquiler,Norte de Santander,169,90279800,42567,Luisa
204,42452,Local,Alquiler,Cundinamarca,106,69218000,42683,Luisa
205,42452,Local,Venta,Norte de Santander,274,200239200,42708,Luisa
206,42452,apartamento,Alquiler,Boyacá,250,225350000,42787,Joaquín
207,42452,apartamento,Alquiler,Boyacá,134,133812400,42601,Luisa
208,42452,Casa,Venta,Boyacá,156,136968000,42640,Pedro
209,42453,parqueadero,Venta,Boyacá,167,164394800,42634,María
210,42453,Oficina,Alquiler,Boyacá,206,129759400,42797,Carmen
211,42454,parqueadero,Alquiler,Cundinamarca,269,213424600,42593,Carmen
212,42454,Casa,Alquiler,Cundinamarca,63,49215600,42668,Carmen
213,42455,lote,Alquiler,Boyacá,223,193251800,42754,Pedro
214,42455,Industrial,Venta,Norte de Santander,163,138501100,42608,Carmen
215,42456,parqueadero,Alquiler,Norte de Santander,214,121915800,42564,Pedro
216,42456,Industrial,Venta,Meta,263,149489200,42768,María
217,42457,Industrial,Alquiler,Boyacá,216,139860000,42677,Luisa
218,42458,lote,Alquiler,Meta,65,46143500,42735,Carmen
219,42458,Industrial,Alquiler,Norte de Santander,46,35125600,42822,Luisa
220,42459,Industrial,Alquiler,Boyacá,209,104228300,42630,Jesús
221,42459,Casa,Alquiler,Cundinamarca,56,47460000,42609,Pedro
222,42459,Local,Alquiler,Norte de Santander,82,42066000,42645,María
223,42460,lote,Alquiler,Norte de Santander,62,48992400,42622,Luisa
224,42460,Oficina,Venta,Meta,192,103200000,42603,Luisa
225,42461,parqueadero,Alquiler,Cundinamarca,152,106932000,42719,Jesús
226,42461,Local,Alquiler,Meta,182,113313200,42611,Joaquín
227,42461,Casa,Venta,Boyacá,179,167096500,42622,Luisa
228,42461,Local,Venta,Norte de Santander,211,201061900,42686,Jesús
229,42461,Oficina,Venta,Meta,117,73920600,42760,Carmen
230,42462,Oficina,Alquiler,Meta,186,138216600,42795,Pedro
231,42463,Local,Alquiler,Cundinamarca,143,66595100,42784,Pedro
232,42463,Oficina,Venta,Meta,212,147954800,42677,María
233,42463,Local,Alquiler,Norte de Santander,246,136234800,42648,Joaquín
234,42463,lote,Venta,Norte de Santander,230,172270000,42820,Carmen
235,42463,lote,Venta,Boyacá,126,84835800,42676,Pedro
236,42463,Industrial,Venta,Norte de Santander,226,210428600,42608,Carmen
237,42465,apartamento,Venta,Meta,262,174885000,42650,Pedro
238,42465,Casa,Alquiler,Cundinamarca,170,99552000,42767,Jesús
239,42465,apartamento,Alquiler,Boyacá,268,233803200,42737,Pedro
240,42466,parqueadero,Venta,Cundinamarca,164,129871600,42707,Luisa
241,42466,Local,Venta,Boyacá,260,203866000,42577,Carmen
242,42467,lote,Venta,Cundinamarca,69,65653500,42598,Jesús
243,42467,Local,Venta,Boyacá,298,187054600,42825,Luisa
244,42467,Local,Alquiler,Meta,284,143107600,42726,María
245,42468,Casa,Venta,Cundinamarca,239,117659700,42558,Joaquín
246,42469,Local,Venta,Norte de Santander,287,193610200,42833,Jesús
247,42469,Industrial,Alquiler,Cundinamarca,159,158252700,42713,Jesús
248,42469,lote,Alquiler,Norte de Santander,136,87312000,42730,Pedro
249,42469,Industrial,Venta,Meta,223,202640100,42717,Joaquín
250,42469,apartamento,Alquiler,Boyacá,175,74707500,42767,Pedro
251,42469,lote,Venta,Boyacá,124,113063200,42757,Pedro
252,42469,parqueadero,Alquiler,Boyacá,168,162204000,42658,María
253,42470,parqueadero,Venta,Meta,106,56720600,42590,María
254,42470,apartamento,Venta,Norte de Santander,67,37968900,42672,Pedro
255,42470,Local,Alquiler,Cundinamarca,49,42453600,42798,Pedro
256,42470,Industrial,Venta,Norte de Santander,238,162030400,42648,Carmen
257,42471,lote,Alquiler,Boyacá,261,122069700,42775,Carmen
258,42471,lote,Alquiler,Cundinamarca,242,109964800,42779,María
259,42471,parqueadero,Venta,Meta,138,118321200,42792,Luisa
260,42472,apartamento,Alquiler,Meta,258,175001400,42713,Luisa
261,42472,Casa,Alquiler,Boyacá,201,110710800,42832,Joaquín
262,42472,Casa,Alquiler,Cundinamarca,181,144962900,42627,Luisa
263,42473,Oficina,Alquiler,Cundinamarca,244,100698800,42588,María
264,42474,parqueadero,Alquiler,Meta,258,177091200,42796,Jesús
265,42474,parqueadero,Venta,Cundinamarca,105,92725500,42695,Luisa
266,42474,parqueadero,Alquiler,Meta,216,112579200,42629,Jesús
267,42474,Casa,Venta,Norte de Santander,204,129111600,42640,Carmen
268,42475,Industrial,Alquiler,Norte de Santander,150,96825000,42781,María
269,42475,parqueadero,Venta,Boyacá,52,44688800,42614,María
270,42475,parqueadero,Alquiler,Meta,223,134290600,42674,Joaquín
271,42475,Local,Alquiler,Boyacá,237,109328100,42737,Jesús
272,42475,lote,Venta,Boyacá,270,240921000,42616,Carmen
273,42475,apartamento,Alquiler,Boyacá,120,72288000,42780,Joaquín
274,42475,apartamento,Alquiler,Boyacá,113,110288000,42811,Jesús
275,42476,Local,Alquiler,Norte de Santander,193,107944900,42694,Pedro
276,42477,Oficina,Alquiler,Norte de Santander,110,103950000,42691,Pedro
277,42477,parqueadero,Venta,Cundinamarca,209,203858600,42741,Jesús
278,42477,lote,Alquiler,Norte de Santander,125,85375000,42607,Carmen
279,42478,lote,Venta,Norte de Santander,244,141495600,42792,María
280,42478,Oficina,Venta,Cundinamarca,154,88180400,42607,Pedro
281,42478,Oficina,Venta,Norte de Santander,258,108127800,42838,Carmen
282,42478,Casa,Venta,Norte de Santander,285,253450500,42732,Jesús
283,42478,Oficina,Alquiler,Meta,137,133629800,42701,Pedro
284,42479,lote,Alquiler,Norte de Santander,262,240489800,42663,Luisa
285,42479,Industrial,Alquiler,Meta,143,71271200,42745,Jesús
286,42479,Industrial,Venta,Cundinamarca,65,52377000,42759,Jesús
287,42479,Industrial,Alquiler,Cundinamarca,225,136080000,42573,Jesús
288,42479,Casa,Alquiler,Boyacá,177,92429400,42754,Luisa
289,42480,lote,Venta,Boyacá,163,89535900,42783,Pedro
290,42480,Oficina,Alquiler,Norte de Santander,227,143781800,42821,Jesús
291,42481,Casa,Alquiler,Meta,295,187767500,42624,Pedro
292,42481,parqueadero,Venta,Cundinamarca,54,25844400,42802,Pedro
293,42482,parqueadero,Venta,Norte de Santander,82,43041800,42775,Luisa
294,42482,Oficina,Venta,Norte de Santander,86,58996000,42812,Carmen
295,42482,Oficina,Venta,Norte de Santander,133,78669500,42695,Luisa
296,42482,parqueadero,Alquiler,Cundinamarca,235,177378000,42822,Pedro
297,42483,lote,Alquiler,Norte de Santander,288,269913600,42579,Pedro
298,42483,Industrial,Venta,Cundinamarca,106,60059600,42697,Luisa
299,42483,Industrial,Venta,Norte de Santander,45,30717000,42841,Joaquín
300,42483,lote,Alquiler,Meta,85,68323000,42772,Carmen
301,42484,Casa,Alquiler,Meta,178,145817600,42778,Carmen
302,42484,Industrial,Alquiler,Norte de Santander,211,117189400,42816,Pedro
303,42485,Oficina,Venta,Norte de Santander,209,172822100,42612,Carmen
304,42486,Casa,Alquiler,Cundinamarca,298,261256600,42782,Pedro
305,42487,Oficina,Venta,Norte de Santander,249,115038000,42692,Joaquín
306,42487,apartamento,Venta,Boyacá,142,105591200,42641,Jesús
307,42487,Industrial,Venta,Boyacá,196,164561600,42839,Carmen
308,42488,lote,Alquiler,Cundinamarca,228,152121600,42810,Carmen
309,42488,apartamento,Alquiler,Boyacá,237,176351700,42619,Luisa
310,42488,Industrial,Venta,Boyacá,121,79279200,42636,Pedro
311,42488,lote,Venta,Boyacá,61,60542500,42733,Carmen
312,42489,Industrial,Venta,Norte de Santander,189,157928400,42742,Luisa
313,42490,Local,Alquiler,Cundinamarca,91,39139100,42779,Luisa
314,42490,lote,Alquiler,Meta,230,138690000,42815,Joaquín
315,42491,Casa,Alquiler,Cundinamarca,251,243997100,42780,Joaquín
316,42492,Industrial,Alquiler,Cundinamarca,261,257111100,42773,Carmen
317,42492,parqueadero,Alquiler,Cundinamarca,251,175499200,42608,Jesús
318,42492,lote,Alquiler,Boyacá,46,44077200,42691,Jesús
319,42492,apartamento,Venta,Meta,123,96136800,42617,Luisa
320,42492,Industrial,Alquiler,Norte de Santander,277,245615900,42586,María
321,42493,Industrial,Alquiler,Norte de Santander,190,97774000,42594,Pedro
322,42493,lote,Venta,Cundinamarca,42,25590600,42683,María
323,42493,parqueadero,Venta,Cundinamarca,237,159216600,42658,María
324,42494,lote,Alquiler,Cundinamarca,155,87606000,42735,Carmen
325,42494,apartamento,Venta,Norte de Santander,60,33240000,42612,Joaquín
326,42494,Industrial,Alquiler,Cundinamarca,179,122722400,42651,Luisa
327,42494,lote,Venta,Meta,180,102204000,42822,Jesús
328,42494,lote,Venta,Cundinamarca,273,136936800,42842,Jesús
329,42494,Industrial,Venta,Boyacá,285,192232500,42685,María
330,42495,parqueadero,Alquiler,Norte de Santander,125,118925000,42669,Pedro
331,42495,parqueadero,Alquiler,Cundinamarca,205,99035500,42712,Luisa
332,42496,Local,Alquiler,Norte de Santander,138,87768000,42825,Luisa
333,42496,apartamento,Venta,Cundinamarca,110,80300000,42607,Jesús
334,42497,Industrial,Alquiler,Meta,242,211096600,42757,Pedro
335,42497,apartamento,Venta,Boyacá,148,63492000,42852,Joaquín
336,42497,Local,Alquiler,Meta,227,139446100,42763,María
337,42498,Oficina,Venta,Norte de Santander,102,41361000,42628,Pedro
338,42498,Oficina,Alquiler,Cundinamarca,41,36166100,42763,Carmen
339,42499,lote,Alquiler,Norte de Santander,75,68317500,42617,Joaquín
340,42500,lote,Venta,Boyacá,99,78378300,42705,Jesús
341,42500,Casa,Venta,Meta,229,199069700,42676,Pedro
342,42500,Local,Alquiler,Boyacá,259,199222800,42725,Pedro
343,42500,parqueadero,Venta,Cundinamarca,175,117810000,42686,Luisa
344,42500,Casa,Venta,Cundinamarca,146,108346600,42632,Jesús
345,42501,Industrial,Alquiler,Meta,131,126349500,42736,Jesús
346,42501,Local,Venta,Meta,202,132067600,42727,Pedro
347,42501,Industrial,Venta,Cundinamarca,173,85185200,42631,Carmen
348,42501,Oficina,Alquiler,Norte de Santander,187,156088900,42820,Joaquín
349,42502,parqueadero,Venta,Meta,234,139885200,42675,María
350,42503,Oficina,Venta,Norte de Santander,103,68083000,42634,María
351,42503,apartamento,Alquiler,Norte de Santander,75,41872500,42849,Pedro
352,42504,Casa,Venta,Meta,241,206055000,42653,Luisa
353,42504,apartamento,Alquiler,Meta,257,198018500,42596,Carmen
354,42504,apartamento,Venta,Norte de Santander,122,88547600,42824,Carmen
355,42504,Oficina,Alquiler,Meta,209,118168600,42658,Carmen
356,42504,parqueadero,Alquiler,Boyacá,154,83083000,42769,Luisa
357,42505,lote,Venta,Norte de Santander,196,170794400,42601,Pedro
358,42505,apartamento,Venta,Cundinamarca,131,118004800,42678,Joaquín
359,42505,parqueadero,Venta,Boyacá,130,117663000,42812,Jesús
360,42506,Local,Venta,Cundinamarca,156,89622000,42813,Luisa
361,42507,Local,Venta,Boyacá,291,150592500,42804,Luisa
362,42508,Casa,Venta,Boyacá,141,73249500,42706,Luisa
363,42508,lote,Alquiler,Norte de Santander,68,37862400,42824,Carmen
364,42508,Local,Venta,Boyacá,267,125703600,42730,Luisa
365,42508,Local,Alquiler,Meta,137,67335500,42659,María
366,42508,Oficina,Venta,Boyacá,137,96119200,42865,Jesús
367,42508,Industrial,Alquiler,Boyacá,76,50122000,42818,Jesús
368,42508,Casa,Venta,Norte de Santander,80,35432000,42661,Carmen
369,42509,Casa,Alquiler,Cundinamarca,149,123833900,42731,Luisa
370,42509,lote,Alquiler,Meta,285,137797500,42627,Jesús
371,42510,Oficina,Venta,Cundinamarca,230,110998000,42712,Luisa
372,42510,parqueadero,Alquiler,Boyacá,163,131752900,42858,Luisa
373,42511,lote,Alquiler,Cundinamarca,131,82281100,42876,Pedro
374,42511,apartamento,Alquiler,Meta,167,89528700,42687,Jesús
375,42512,Local,Venta,Meta,230,139863000,42835,María
376,42513,Industrial,Alquiler,Boyacá,247,121005300,42617,Jesús
377,42514,Oficina,Alquiler,Cundinamarca,105,52521000,42841,Pedro
378,42514,lote,Alquiler,Norte de Santander,280,168000000,42630,María
379,42514,apartamento,Venta,Norte de Santander,108,81280800,42656,Jesús
380,42515,Local,Venta,Boyacá,269,258670400,42821,Carmen
381,42515,Casa,Venta,Norte de Santander,123,77588400,42664,Joaquín
382,42516,lote,Alquiler,Boyacá,264,258218400,42849,Luisa
383,42516,Industrial,Alquiler,Boyacá,298,133116600,42732,Joaquín
384,42516,parqueadero,Venta,Cundinamarca,200,182340000,42663,Joaquín
385,42516,parqueadero,Venta,Cundinamarca,197,174640500,42814,Luisa
386,42516,parqueadero,Alquiler,Norte de Santander,184,83076000,42626,Pedro
387,42517,Oficina,Venta,Cundinamarca,119,48647200,42617,Joaquín
388,42518,parqueadero,Alquiler,Norte de Santander,137,83515200,42779,Jesús
389,42519,Oficina,Alquiler,Meta,196,88278400,42768,Luisa
390,42520,parqueadero,Alquiler,Meta,65,38935000,42714,Luisa
391,42520,lote,Venta,Norte de Santander,300,148350000,42823,Carmen
392,42520,apartamento,Alquiler,Cundinamarca,202,156045000,42772,Jesús
393,42521,apartamento,Venta,Norte de Santander,225,116437500,42798,Pedro
394,42521,Local,Alquiler,Cundinamarca,203,94679200,42842,María
395,42521,Casa,Alquiler,Norte de Santander,192,115929600,42878,Carmen
396,42521,parqueadero,Alquiler,Boyacá,296,160254400,42620,Jesús
397,42522,parqueadero,Venta,Cundinamarca,177,93332100,42865,Joaquín
398,42522,Industrial,Venta,Norte de Santander,72,42782400,42682,Luisa
399,42522,Industrial,Venta,Meta,65,48386000,42759,Pedro
400,42522,parqueadero,Venta,Meta,208,122512000,42757,Carmen
